date_and_time,pm25,o3,temperature,relative_humidity,dew_point,precipitation,rain,pressure_msl,surface_pressure,cloud_cover,vapour_pressure_deficit,wind_speed,wind_direction,wind_gusts
1/1/2019 0:00,98,0,4,71,-0.7,0,0,1019.6,866.1,0,0.23,6.7,164,11.2
1/1/2019 1:00,114,0,5.4,65,-0.7,0,0,1020.5,867.5,0,0.32,3.8,163,14.8
1/1/2019 2:00,136,0.001,6.4,64,0,0,0,1021.4,868.8,0,0.35,4.5,166,14
1/1/2019 3:00,177,0.004,10,58,2.2,0,0,1022.2,871.2,0,0.51,5.7,162,16.6
1/1/2019 4:00,195,0.019,12.9,40,-0.4,0,0,1022.4,872.8,0,0.9,2.6,106,15.5
1/1/2019 5:00,127,0.033,14.2,38,0.1,0,0,1022.1,873.2,0,1.01,1.1,18,13
1/1/2019 6:00,62,0.041,15.2,37,0.7,0,0,1021.2,872.8,0,1.08,3.4,342,15.1
1/1/2019 7:00,41,0.047,15.6,39,1.6,0,0,1020,872,0,1.09,6,335,20.5
1/1/2019 8:00,39,0.052,15.7,40,2.1,0,0,1018.8,871,0,1.07,6.6,331,22
1/1/2019 9:00,67,0.051,15.3,42,2.6,0,0,1018.4,870.5,0,1.01,6.2,324,22
1/1/2019 10:00,47,0.042,14.6,46,3.1,0,0,1018.7,870.4,1,0.89,6.4,322,19.8
1/1/2019 11:00,38,0.034,12.8,70,7.4,0,0,1019,869.8,0,0.45,3.5,294,18
1/1/2019 12:00,51,0.026,11.3,57,3,0,0,1019.1,869.2,0,0.58,5.1,219,9.4
1/1/2019 13:00,91,0.01,10.8,57,2.6,0,0,1019.9,869.6,0,0.56,3,194,11.5
1/1/2019 14:00,90,0.012,11.2,50,1.2,0,0,1020.8,870.6,0,0.66,2.3,198,6.5
1/1/2019 15:00,113,0.008,10.7,52,1.4,0,0,1021.4,870.9,0,0.61,1.1,180,5.4
1/1/2019 16:00,87,0.01,8.5,65,2.2,0,0,1021.7,870.1,0,0.39,2.5,172,6.1
1/1/2019 17:00,142,0.001,6.9,73,2.4,0,0,1021.9,869.5,0,0.27,4,175,9.4
1/1/2019 18:00,141,0,6.6,74,2.4,0,0,1021.9,869.3,0,0.25,4,170,10.1
1/1/2019 19:00,125,0,6.3,75,2.2,0,0,1021.5,868.8,0,0.24,3.8,163,10.4
1/1/2019 20:00,83,0.001,6.2,75,2.1,0,0,1021.1,868.4,0,0.24,4.1,165,11.5
1/1/2019 21:00,68,0.002,6.2,73,1.8,0,0,1020.1,867.6,0,0.26,3.8,163,13
1/1/2019 22:00,66,0.002,5.9,73,1.4,0,0,1019.6,867,0,0.25,4.2,160,14.8
1/1/2019 23:00,80,0.001,5.1,75,1.1,0,0,1019.3,866.4,0,0.22,4.6,162,15.8
1/2/2019 0:00,80,0,3.6,85,1.3,0,0,1019.9,866.1,0,0.12,5.5,169,17.6
1/2/2019 1:00,85,0,3.4,82,0.6,0,0,1020.5,866.5,0,0.14,5.2,168,18
1/2/2019 2:00,122,0.001,4.6,73,0.2,0,0,1021.7,868.1,0,0.23,5.4,172,17.3
1/2/2019 3:00,143,0.004,9.5,62,2.5,0,0,1022.7,871.4,0,0.46,5.6,165,16.6
1/2/2019 4:00,193,0.017,12.8,38,-1.2,0,0,1023.1,873.3,0,0.92,2.2,81,14
1/2/2019 5:00,134,0.034,14.3,35,-0.8,0,0,1021.9,873,26,1.06,3.5,66,16.2
1/2/2019 6:00,91,0.045,15.5,33,-0.9,0,0,1020.4,872.3,64,1.19,1.5,76,16.2
1/2/2019 7:00,45,0.046,16,31,-1.3,0,0,1019.1,871.4,49,1.26,4,275,14.4
1/2/2019 8:00,39,0.047,15.5,35,0.2,0,0,1018.3,870.5,32,1.14,6.3,294,20.2
1/2/2019 9:00,39,0.036,14.6,43,2.2,0,0,1018.3,870.1,23,0.95,7.4,313,23
1/2/2019 10:00,32,0.03,13.8,47,2.6,0,0,1018.5,869.9,6,0.84,6.6,338,23
1/2/2019 11:00,38,0.026,12.2,72,7.3,0,0,1018.6,869.2,8,0.4,3.8,17,19.1
1/2/2019 12:00,46,0.021,12.4,46,1.1,0,0,1019.2,869.8,19,0.78,4.7,351,7.9
1/2/2019 13:00,73,0.009,11.8,50,1.7,0,0,1019.8,870,13,0.7,4.7,328,12.6
1/2/2019 14:00,95,0.007,11.2,53,2,0,0,1020.5,870.4,1,0.63,2.7,203,11.2
1/2/2019 15:00,127,0.004,9.3,62,2.5,0,0,1020.8,869.7,0,0.44,2.9,173,6.5
1/2/2019 16:00,115,0.005,7.4,71,2.5,0,0,1020.6,868.6,0,0.3,3.6,174,10.1
1/2/2019 17:00,78,0.009,6.8,71,2,0,0,1020.7,868.4,0,0.28,2.5,172,10.1
1/2/2019 18:00,75,0.005,6.4,73,1.9,0,0,1020.5,868,0,0.26,2.5,172,9.7
1/2/2019 19:00,79,0.001,6.2,73,1.7,0,0,1020.2,867.6,0,0.26,2.5,172,9.4
1/2/2019 20:00,71,0.003,5.9,72,1.3,0,0,1019.4,866.8,0,0.26,2.9,173,9.4
1/2/2019 21:00,63,0.002,5.6,71,0.8,0,0,1019,866.3,0,0.27,3,166,9.4
1/2/2019 22:00,52,0.002,5.6,68,0.2,0,0,1018.5,865.9,0,0.29,3.3,167,10.1
1/2/2019 23:00,55,0.001,5.5,66,-0.3,0,0,1018.3,865.7,0,0.3,3.8,163,10.8
1/3/2019 0:00,59,0,4.1,71,-0.7,0,0,1019.1,865.7,0,0.24,6.4,164,11.2
1/3/2019 1:00,82,0,4.7,69,-0.6,0,0,1019.7,866.5,0,0.27,3.4,162,13.7
1/3/2019 2:00,111,0.001,6.1,64,-0.2,0,0,1020.6,868,0,0.34,4,170,11.9
1/3/2019 3:00,191,0.005,9.6,57,1.5,0,0,1021.7,870.6,0,0.52,4.9,163,13.3
1/3/2019 4:00,158,0.017,12,46,0.6,0,0,1021.9,871.9,0,0.76,1,45,11.9
